,title,link
16,"What is ""normal"" and what is ""different""?",https://ted.com/talks/yana_buhrer_tavanier_what_is_normal_and_what_is_different
17,The ocean's ingenious climate solutions,https://ted.com/talks/susan_ruffo_the_ocean_s_ingenious_climate_solutions
18,How we're reducing the climate impact of electronics,https://ted.com/talks/tim_dunn_how_we_re_reducing_the_climate_impact_of_electronics
19,A vibrant dance performance of funk classics,https://ted.com/talks/let_it_happen_a_vibrant_dance_performance_of_funk_classics
20,"""Dive In""",https://ted.com/talks/dave_matthews_dive_in
21,Got millet? How marketing could improve the lives of African farmers,https://ted.com/talks/zoe_karl_waithaka_got_millet_how_marketing_could_improve_the_lives_of_african_farmers
22,The myth of Gawain and the Green Knight,https://ted.com/talks/dan_kwartler_the_myth_of_gawain_and_the_green_knight
23,How wind energy could power Earth ... 18 times over,https://ted.com/talks/dan_jorgensen_how_wind_energy_could_power_earth_18_times_over
24,The incredible cancer-detecting potential of photoacoustic imaging,https://ted.com/talks/lei_li_the_incredible_cancer_detecting_potential_of_photoacoustic_imaging
25,How to fix two of the most broken systems in the US,https://ted.com/talks/nick_turner_and_whitney_pennington_rodgers_how_to_fix_two_of_the_most_broken_systems_in_the_us
26,Can you outsmart the fallacy that divided a nation?,https://ted.com/talks/elizabeth_cox_can_you_outsmart_the_fallacy_that_divided_a_nation
27,Sex education should start with consent,https://ted.com/talks/kaz_sex_education_should_start_with_consent
28,Smart solutions to decarbonize buildings,https://ted.com/talks/katie_mcginty_smart_solutions_to_decarbonize_buildings
29,How to provide cooling for everyone — without warming the planet,https://ted.com/talks/rachel_kyte_how_to_provide_cooling_for_everyone_without_warming_the_planet
30,The mind-bending art of deep time,https://ted.com/talks/katie_paterson_the_mind_bending_art_of_deep_time
31,"The myth of Anansi, the trickster spider",https://ted.com/talks/emily_zobel_marshall_the_myth_of_anansi_the_trickster_spider
32, A different understanding of American patriotism,https://ted.com/talks/deval_patrick_a_different_understanding_of_american_patriotism
33,4 ways to redefine power at work to include women of color,https://ted.com/talks/rha_goddess_and_deepa_purushothaman_4_ways_to_redefine_power_at_work_to_include_women_of_color
34,How to boost nature-based solutions to climate change,https://ted.com/talks/zac_goldsmith_how_to_boost_nature_based_solutions_to_climate_change
35,Which animal has the best eyesight?,https://ted.com/talks/thomas_w_cronin_which_animal_has_the_best_eyesight
36,The new reality of fashion is digital,https://ted.com/talks/gala_marija_vrbanic_the_new_reality_of_fashion_is_digital
37,Are brain waves the secret to treating Alzheimer's?,https://ted.com/talks/li_huei_tsai_are_brain_waves_the_secret_to_treating_alzheimer_s
38,What if women built the world they want to see?,https://ted.com/talks/emily_pilloton_lam_what_if_women_built_the_world_they_want_to_see
39,How to fix broken supply chains,https://ted.com/talks/dustin_burke_how_to_fix_broken_supply_chains
40,Can you solve the birthday cake riddle?,https://ted.com/talks/marie_brodsky_can_you_solve_the_birthday_cake_riddle
41,What you need to know about carbon removal,https://ted.com/talks/gabrielle_walker_what_you_need_to_know_about_carbon_removal
42,How radical hospitality can change the lives of the formerly incarcerated,https://ted.com/talks/reuben_jonathan_miller_how_radical_hospitality_can_change_the_lives_of_the_formerly_incarcerated
43,The tragic myth of the Sun God's son,https://ted.com/talks/iseult_gillespie_the_tragic_myth_of_the_sun_god_s_son
44,"The unexpected, underwater plant fighting climate change",https://ted.com/talks/carlos_m_duarte_the_unexpected_underwater_plant_fighting_climate_change
45,How to break down barriers and not accept limits,https://ted.com/talks/candace_parker_how_to_break_down_barriers_and_not_accept_limits
46,"""A Ride With Polly Jean"" / ""Ali Farka Touche""",https://ted.com/talks/jenny_scheinman_with_nels_cline_and_todd_sickafoose_a_ride_with_polly_jean_ali_farka_touche
47,Why do cats have vertical pupils?,https://ted.com/talks/emma_bryce_why_do_cats_have_vertical_pupils
48,Why great leaders take humor seriously,https://ted.com/talks/jennifer_aaker_and_naomi_bagdonas_why_great_leaders_take_humor_seriously
49,One company at a time,https://ted.com/talks/american_family_insurance_one_company_at_a_time
50,How comic strips create better health care,https://ted.com/talks/sam_hester_how_comic_strips_create_better_health_care
51,Why is it so hard to escape poverty?,https://ted.com/talks/ann_helen_bay_why_is_it_so_hard_to_escape_poverty
52,"""You and I"" / ""Attention""",https://ted.com/talks/charlie_puth_you_and_i_attention
53,How to realistically decarbonize the oil and gas industry,https://ted.com/talks/bjorn_otto_sverdrup_how_to_realistically_decarbonize_the_oil_and_gas_industry
54,"I'm tired of people telling me to ""grind""",https://ted.com/talks/pardis_parker_i_m_tired_of_people_telling_me_to_grind
55,How biochar removes CO2 from the air — and helps farmers thrive,https://ted.com/talks/axel_reinaud_how_biochar_removes_co2_from_the_air_and_helps_farmers_thrive
56,"The creativity, innovation and ingenuity languishing in US prisons",https://ted.com/talks/brittany_k_barnett_the_creativity_innovation_and_ingenuity_languishing_in_us_prisons
57,The architectural mastermind behind modern Singapore,https://ted.com/talks/liu_thai_ker_the_architectural_mastermind_behind_modern_singapore
58,The myth of Loki's monstrous children,https://ted.com/talks/iseult_gillespie_the_myth_of_loki_s_monstrous_children
59,"What makes a job ""good"" — and the case for investing in people",https://ted.com/talks/warren_valdmanis_what_makes_a_job_good_and_the_case_for_investing_in_people
60,Language shouldn't be a barrier to climate action,https://ted.com/talks/sophia_kianni_language_shouldn_t_be_a_barrier_to_climate_action
61,Human-centered justice,https://ted.com/talks/american_family_insurance_human_centered_justice
62,Why is the Mona Lisa so famous?,https://ted.com/talks/noah_charney_why_is_the_mona_lisa_so_famous
63,How moms shape the world,https://ted.com/talks/anna_malaika_tubbs_how_moms_shape_the_world
64,Why a free and fair internet is more vital than ever,https://ted.com/talks/priscilla_chomba_kinywa_why_a_free_and_fair_internet_is_more_vital_than_ever
65,It's time to write a new climate story,https://ted.com/talks/countdown_it_s_time_to_write_a_new_climate_story
66,"Blood, concrete, and dynamite: Building the Hoover Dam",https://ted.com/talks/alex_gendler_blood_concrete_and_dynamite_building_the_hoover_dam
67,4 ways the COVID-19 pandemic changed the way we sleep,https://ted.com/talks/matt_walker_4_ways_the_covid_19_pandemic_changed_the_way_we_sleep
68,You can only save one— who do you choose?,https://ted.com/talks/doug_mackay_you_can_only_save_one_who_do_you_choose
69,How to escape the cynicism trap,https://ted.com/talks/jamil_zaki_how_to_escape_the_cynicism_trap
70,"Use your voice, vote and wallet for climate action",https://ted.com/talks/halla_tomasdottir_use_your_voice_vote_and_wallet_for_climate_action
71,A king cobra bite — and a scientific discovery,https://ted.com/talks/gowri_shankar_a_king_cobra_bite_and_a_scientific_discovery
72,How we could better predict and stop floods,https://ted.com/talks/virginia_smith_how_we_could_better_predict_and_stop_floods
73,Dreams and details for a decarbonized future,https://ted.com/talks/jim_hagemann_snabe_dreams_and_details_for_a_decarbonized_future
74,The dark history of Mount Rushmore,https://ted.com/talks/ned_blackhawk_and_jeffrey_d_means_the_dark_history_of_mount_rushmore
75,"Siri, Alexa, Google ... what comes next?",https://ted.com/talks/karen_lellouche_tordjman_siri_alexa_google_what_comes_next
76,A new way to help young people with their mental health,https://ted.com/talks/tom_osborn_a_new_way_to_help_young_people_with_their_mental_health
77,How to deal with your insomnia — and finally get to sleep,https://ted.com/talks/matt_walker_how_to_deal_with_your_insomnia_and_finally_get_to_sleep
78,Would you raise the bird that murdered your children?,https://ted.com/talks/steve_rothstein_would_you_raise_the_bird_that_murdered_your_children
79,A vision of sustainable housing for all of humanity,https://ted.com/talks/vishaan_chakrabarti_a_vision_of_sustainable_housing_for_all_of_humanity
80,"""Your Song"" / ""Real Life""",https://ted.com/talks/joan_as_police_woman_your_song_real_life
81,3 ways to prepare society for the next pandemic,https://ted.com/talks/jennifer_b_nuzzo_3_ways_to_prepare_society_for_the_next_pandemic
82,The need for family reunification — to make families whole again,https://ted.com/talks/elizabeth_zion_the_need_for_family_reunification_to_make_families_whole_again
83,Education is a fundamental right for every child,https://ted.com/talks/makhtoum_abdalla_education_is_a_fundamental_right_for_every_child
84,The life-changing power of assistive technologies,https://ted.com/talks/jane_velkovski_the_life_changing_power_of_assistive_technologies
85,How to protect your mental well-being online — from a Gen-Zer,https://ted.com/talks/peachy_liv_how_to_protect_your_mental_well_being_online_from_a_gen_zer
86,A next-generation solution to climate crisis,https://ted.com/talks/nkosilathi_nyathi_a_next_generation_solution_to_climate_crisis
87,"""Astral Plane""",https://ted.com/talks/valerie_june_astral_plane
88,5 keys to shifting to a well-being economy — and the cost of inaction,https://ted.com/talks/sandrine_dixson_decleve_5_keys_to_shifting_to_a_well_being_economy_and_the_cost_of_inaction
89,3 ways to lower the barriers to higher education,https://ted.com/talks/adrian_k_haugabrook_3_ways_to_lower_the_barriers_to_higher_education
90,How one of the most profitable companies in history rose to power,https://ted.com/talks/adam_clulow_how_one_of_the_most_profitable_companies_in_history_rose_to_power
91,How going to Mars improves life on Earth,https://ted.com/talks/eric_hinterman_how_going_to_mars_improves_life_on_earth
92,Africans should lead on health care solutions for Africa,https://ted.com/talks/francisca_mutapi_africans_should_lead_on_health_care_solutions_for_africa
93,The end of Roe v. Wade — and what comes next for reproductive freedom,https://ted.com/talks/kathryn_kolbert_the_end_of_roe_v_wade_and_what_comes_next_for_reproductive_freedom
94,4 steps to hiring fairly — and supporting criminal justice reform,https://ted.com/talks/nyra_jordan_4_steps_to_hiring_fairly_and_supporting_criminal_justice_reform
95,How sleep affects what (and how much) you eat,https://ted.com/talks/matt_walker_how_sleep_affects_what_and_how_much_you_eat
96,"Yes, scientists are actually building an elevator to space",https://ted.com/talks/fabio_pacucci_yes_scientists_are_actually_building_an_elevator_to_space
97,How to end the pandemic — and prepare for the next,https://ted.com/talks/maria_van_kerkhove_how_to_end_the_pandemic_and_prepare_for_the_next
98,3 questions to build resilience — and change the world,https://ted.com/talks/sister_true_dedication_3_questions_to_build_resilience_and_change_the_world
99,Community investment is the missing piece of climate action,https://ted.com/talks/dawn_lippert_community_investment_is_the_missing_piece_of_climate_action
100,The dream of educating Afghan girls lives on,https://ted.com/talks/shabana_basij_rasikh_the_dream_of_educating_afghan_girls_lives_on
101,How gratitude rewires your brain,https://ted.com/talks/christina_costa_how_gratitude_rewires_your_brain
102,Can stereotypes ever be good?,https://ted.com/talks/sheila_marie_orfano_and_densho_can_stereotypes_ever_be_good
103,The value of kindness at work,https://ted.com/talks/james_rhee_the_value_of_kindness_at_work
104,What is melatonin — and should you take it to fall asleep?,https://ted.com/talks/matt_walker_what_is_melatonin_and_should_you_take_it_to_fall_asleep
105,The life cycle of a pair of jeans,https://ted.com/talks/madhavi_venkatesan_the_life_cycle_of_a_pair_of_jeans
106,Is it really that bad to marry my cousin?,https://ted.com/talks/mona_chalabi_is_it_really_that_bad_to_marry_my_cousin
107,It's impossible to have healthy people on a sick planet,https://ted.com/talks/shweta_narayan_it_s_impossible_to_have_healthy_people_on_a_sick_planet
108,The surprising health benefits of dreaming,https://ted.com/talks/matt_walker_the_surprising_health_benefits_of_dreaming
109,"Dear world leaders, these are our climate demands",https://ted.com/talks/xiye_bastida_shiv_soin_and_latif_nasser_dear_world_leaders_these_are_our_climate_demands
110,The science of extreme weather — and how to reduce the harm,https://ted.com/talks/al_roker_al_gore_david_biello_and_latif_nasser_the_science_of_extreme_weather_and_how_to_reduce_the_harm
111,The wild sex lives of marine creatures,https://ted.com/talks/luka_seamus_wright_the_wild_sex_lives_of_marine_creatures
112,The forest is our teacher. It's time to respect it,https://ted.com/talks/nemonte_nenquimo_the_forest_is_our_teacher_it_s_time_to_respect_it
113,How accurate is the weather forecast?,https://ted.com/talks/mona_chalabi_how_accurate_is_the_weather_forecast
114,An action plan for solving the climate crisis,https://ted.com/talks/john_doerr_and_ryan_panchadsaram_an_action_plan_for_solving_the_climate_crisis
115,The science of preserving sight,https://ted.com/talks/joshua_chu_tan_the_science_of_preserving_sight
116,Can you solve the human cannonball riddle? ,https://ted.com/talks/alex_rosenthal_can_you_solve_the_human_cannonball_riddle
117,Can climate change ever be funny? 17 comedians try to answer,https://ted.com/talks/rainn_wilson_can_climate_change_ever_be_funny_17_comedians_try_to_answer
118,Your self-driving robotaxi is almost here,https://ted.com/talks/aicha_evans_your_self_driving_robotaxi_is_almost_here
119,Nature's fortress: How cacti keep water in and predators out,https://ted.com/talks/lucas_c_majure_nature_s_fortress_how_cacti_keep_water_in_and_predators_out
120,A program to empower Black teachers in the US,https://ted.com/talks/larry_irvin_a_program_to_empower_black_teachers_in_the_us
121,An ever-evolving map of everything on Earth,https://ted.com/talks/jack_dangermond_an_ever_evolving_map_of_everything_on_earth
122,Are naps actually good for us?,https://ted.com/talks/matt_walker_are_naps_actually_good_for_us
123,"""I Can See Clearly Now""",https://ted.com/talks/tyrone_davis_jr_i_can_see_clearly_now
124,"""Back on My Feet""",https://ted.com/talks/kimberose_back_on_my_feet
125,How to make a sad story funny,https://ted.com/talks/jodie_houlston_lau_how_to_make_a_sad_story_funny
126,The crucial intersection of climate and capital,https://ted.com/talks/nili_gilbert_the_crucial_intersection_of_climate_and_capital
127,Which box do I check?,https://ted.com/talks/mona_chalabi_which_box_do_i_check
128,3 steps to getting what you want in a negotiation,https://ted.com/talks/ruchi_sinha_3_steps_to_getting_what_you_want_in_a_negotiation
129,Tracking the whole world's carbon emissions — with satellites and AI,https://ted.com/talks/gavin_mccormick_tracking_the_whole_world_s_carbon_emissions_with_satellites_and_ai
130,The rise of predatory scams — and how to prevent them,https://ted.com/talks/jane_walsh_the_rise_of_predatory_scams_and_how_to_prevent_them
131,The twins who tricked the Maya gods of death,https://ted.com/talks/ilan_stavans_the_twins_who_tricked_the_maya_gods_of_death
132,"""Being Human""",https://ted.com/talks/naima_penniman_being_human
133,Leave only footprints that will wash away,https://ted.com/talks/children_of_palau_leave_only_footprints_that_will_wash_away
134,The many reasons to eat a plant-based diet,https://ted.com/talks/derek_sarno_the_many_reasons_to_eat_a_plant_based_diet
135,The powerful women on the front lines of climate action,https://ted.com/talks/farwiza_farhan_the_powerful_women_on_the_front_lines_of_climate_action
136,A bold plan to protect 30 percent of the Earth's surface and ocean floor,https://ted.com/talks/enric_sala_a_bold_plan_to_protect_30_percent_of_the_earth_s_surface_and_ocean_floor
137,A vision for sustainable energy in Africa,https://ted.com/talks/chibeze_ezekiel_a_vision_for_sustainable_energy_in_africa
138,"How your brain invents your ""self""",https://ted.com/talks/anil_seth_how_your_brain_invents_your_self
139,Why better sleep means a better sex life,https://ted.com/talks/matt_walker_why_better_sleep_means_a_better_sex_life
140,Why do some people snore so loudly?,https://ted.com/talks/alayna_vaughan_why_do_some_people_snore_so_loudly
141,How small countries can make a big impact on climate change,https://ted.com/talks/nicola_sturgeon_how_small_countries_can_make_a_big_impact_on_climate_change
142,How did we get fertility so wrong?,https://ted.com/talks/mona_chalabi_how_did_we_get_fertility_so_wrong
143,"Super speed, magnetic levitation and the vision behind the hyperloop",https://ted.com/talks/josh_giegel_super_speed_magnetic_levitation_and_the_vision_behind_the_hyperloop
144,What working parents really need from workplaces,https://ted.com/talks/angela_garbes_what_working_parents_really_need_from_workplaces
145,The creative power of your intuition,https://ted.com/talks/bozoma_saint_john_the_creative_power_of_your_intuition
146,Are locust plagues unstoppable?,https://ted.com/talks/jeffrey_a_lockwood_are_locust_plagues_unstoppable
147,A tailored history of who wears what — and why,https://ted.com/talks/richard_thompson_ford_a_tailored_history_of_who_wears_what_and_why
148,The problem of vaccine spoilage — and a smart sensor to help,https://ted.com/talks/nithya_ramanathan_the_problem_of_vaccine_spoilage_and_a_smart_sensor_to_help
149,"How daylight saving time affects our bodies, minds — and world",https://ted.com/talks/matt_walker_how_daylight_saving_time_affects_our_bodies_minds_and_world
150,How to make radical climate action the new normal,https://ted.com/talks/al_gore_how_to_make_radical_climate_action_the_new_normal
151,"How to get better at video games, according to babies",https://ted.com/talks/brian_christian_how_to_get_better_at_video_games_according_to_babies
152,What we miss when we focus on the average,https://ted.com/talks/mona_chalabi_what_we_miss_when_we_focus_on_the_average
153,3 rules to help you build a successful business,https://ted.com/talks/julissa_prado_3_rules_to_help_you_build_a_successful_business
154,What is COP26?,https://ted.com/talks/countdown_what_is_cop26
155,Countdown Global Livestream 2021,https://ted.com/talks/ted_countdown_global_livestream_2021
156,The 55 gigaton challenge,https://ted.com/talks/countdown_the_55_gigaton_challenge
157,The haunting truth of ghost stories,https://ted.com/talks/coya_paz_brownrigg_the_haunting_truth_of_ghost_stories
158,A new perspective on the journey to net-zero,https://ted.com/talks/amina_j_mohammed_a_new_perspective_on_the_journey_to_net_zero
159,The fastest way to slow climate change now,https://ted.com/talks/ilissa_ocko_the_fastest_way_to_slow_climate_change_now
160,AI isn't as smart as you think — but it could be,https://ted.com/talks/jeff_dean_ai_isn_t_as_smart_as_you_think_but_it_could_be
161,"The Norse myth that inspired ""The Lord of the Rings""",https://ted.com/talks/iseult_gillespie_the_norse_myth_that_inspired_the_lord_of_the_rings
162,How to turn around a city,https://ted.com/talks/irma_l_olguin_jr_how_to_turn_around_a_city
163,Stuck in the gig economy? Try platform co-ops instead,https://ted.com/talks/trebor_scholz_stuck_in_the_gig_economy_try_platform_co_ops_instead
164,"""The [Uncertain] Four Seasons""",https://ted.com/talks/akqa_and_jung_von_matt_the_uncertain_four_seasons
165,The surprisingly long history of electric cars,https://ted.com/talks/daniel_sperling_and_gil_tal_the_surprisingly_long_history_of_electric_cars
166,Can China achieve its ambitious climate pledges?,https://ted.com/talks/hongqiao_liu_can_china_achieve_its_ambitious_climate_pledges
167,Do 9 out of 10 dentists really recommend that toothpaste?,https://ted.com/talks/mona_chalabi_do_9_out_of_10_dentists_really_recommend_that_toothpaste
168,What to expect from COP26,https://ted.com/talks/countdown_summit_what_to_expect_from_cop26
169,Visions for the future,https://ted.com/talks/kai_fu_lee_and_chen_qiufan_visions_for_the_future
170,How to reduce bias in your workplace,https://ted.com/talks/kim_scott_and_trier_bryant_how_to_reduce_bias_in_your_workplace
171,3 tips for leaders to get the future of work right ,https://ted.com/talks/debbie_lovich_3_tips_for_leaders_to_get_the_future_of_work_right
172,How your nature photos can help protect wild animals,https://ted.com/talks/tanya_berger_wolf_how_your_nature_photos_can_help_protect_wild_animals
173,"Why is this 2,500 year old shipwreck so well-preserved?",https://ted.com/talks/helen_farr_and_jon_adams_why_is_this_2_500_year_old_shipwreck_so_well_preserved
174,A close-to-home solution for accessible childcare,https://ted.com/talks/chris_bennett_a_close_to_home_solution_for_accessible_childcare
175,What makes a friendship last? ,https://ted.com/talks/mona_chalabi_what_makes_a_friendship_last
176,How much clean electricity do we really need?,https://ted.com/talks/solomon_goldstein_rose_how_much_clean_electricity_do_we_really_need
177,Can you solve the risky disk riddle?,https://ted.com/talks/james_tanton_can_you_solve_the_risky_disk_riddle
178,How we could eat real meat without harming animals,https://ted.com/talks/isha_datar_how_we_could_eat_real_meat_without_harming_animals
179,How long does it take to get over a breakup?,https://ted.com/talks/mona_chalabi_how_long_does_it_take_to_get_over_a_breakup
180,The small business hustle,https://ted.com/talks/the_hartford_the_small_business_hustle
181,Why don't we cover the desert with solar panels?,https://ted.com/talks/dan_kwartler_why_don_t_we_cover_the_desert_with_solar_panels
182,Why paternity leave benefits everyone,https://ted.com/talks/shu_matsuo_post_why_paternity_leave_benefits_everyone
183,Introducing: Am I Normal? with Mona Chalabi,https://ted.com/talks/ted_audio_collective_introducing_am_i_normal_with_mona_chalabi
184,The bad math of the fossil fuel industry,https://ted.com/talks/tzeporah_berman_the_bad_math_of_the_fossil_fuel_industry
185,Decarbonizing fossil fuels,https://ted.com/talks/countdown_summit_decarbonizing_fossil_fuels
186,Can love and independence coexist?,https://ted.com/talks/tanya_boucicaut_can_love_and_independence_coexist
187,Why skin disease is often misdiagnosed in darker skin tones,https://ted.com/talks/jenna_c_lester_why_skin_disease_is_often_misdiagnosed_in_darker_skin_tones
188,What you discover when you really listen,https://ted.com/talks/hrishikesh_hirway_what_you_discover_when_you_really_listen
189,The billion-dollar campaign to electrify transport,https://ted.com/talks/monica_araya_the_billion_dollar_campaign_to_electrify_transport
190,A roadmap for young changemakers,https://ted.com/talks/melati_wijsen_a_roadmap_for_young_changemakers
191,¿Por qué nos cuesta mirarnos al espejo? | Andrea Vilallonga | TEDxTarragona,https://ted.com/talks/andrea_vilallonga_desarrollar_nuestro_capital_erotico
192,Where will you be able to live in 20 years?,https://ted.com/talks/carol_farbotko_and_ingrid_boas_where_will_you_be_able_to_live_in_20_years
193,Relief to recovery,https://ted.com/talks/monday_com_relief_to_recovery
194,5 tips for dealing with meeting overload,https://ted.com/talks/cindy_solomon_5_tips_for_dealing_with_meeting_overload
195,How humanity doubled life expectancy in a century,https://ted.com/talks/steven_johnson_how_humanity_doubled_life_expectancy_in_a_century
196,What happened to the lost Kingdom of Kush?,https://ted.com/talks/geoff_emberling_what_happened_to_the_lost_kingdom_of_kush
197,A more accurate way to calculate emissions,https://ted.com/talks/charlotte_degot_a_more_accurate_way_to_calculate_emissions
198,The brain science of obesity,https://ted.com/talks/mads_tang_christensen_the_brain_science_of_obesity
199,The genes you don't get from your parents (but can't live without),https://ted.com/talks/devin_shuman_the_genes_you_don_t_get_from_your_parents_but_can_t_live_without
200,How NFTs are building the internet of the future,https://ted.com/talks/kayvon_tehranian_how_nfts_are_building_the_internet_of_the_future
201,Want to truly succeed? Lift others up while you climb,https://ted.com/talks/amber_hikes_want_to_truly_succeed_lift_others_up_while_you_climb
202,3 ways community creates a healthy life,https://ted.com/talks/olivia_affuso_3_ways_community_creates_a_healthy_life
203,Ancient Greece's greatest popstar,https://ted.com/talks/diane_j_rayor_ancient_greece_s_greatest_popstar
204,The Black history of twerking — and how it taught me self-love,https://ted.com/talks/lizzo_the_black_history_of_twerking_and_how_it_taught_me_self_love
205,Why the passport needs an upgrade,https://ted.com/talks/karoli_hindriks_why_the_passport_needs_an_upgrade
206,How employers steal from workers — and get away with it,https://ted.com/talks/rebecca_galemba_how_employers_steal_from_workers_and_get_away_with_it_jan_2021
207,The forgotten queen of Egypt,https://ted.com/talks/abdallah_ewis_the_forgotten_queen_of_egypt
208,3 rules for better work-life balance,https://ted.com/talks/ashley_whillans_3_rules_for_better_work_life_balance
209,Could you recover from illness ... using your own stem cells?,https://ted.com/talks/nabiha_saklayen_could_you_recover_from_illness_using_your_own_stem_cells
210,Can you solve the rogue submarine riddle? Difficulty level: Master,https://ted.com/talks/alex_rosenthal_can_you_solve_the_rogue_submarine_riddle_difficulty_level_master
211,The art of paying attention,https://ted.com/talks/wendy_macnaughton_the_art_of_paying_attention
212,The intended consequences of helping nature thrive,https://ted.com/talks/ryan_phelan_the_intended_consequences_of_helping_nature_thrive
213,The secrets of the world's most famous symphony,https://ted.com/talks/hanako_sawada_the_secrets_of_the_world_s_most_famous_symphony
214,The link between inequality and anxiety,https://ted.com/talks/richard_wilkinson_the_link_between_inequality_and_anxiety
215,Planet City — a sci-fi vision of an astonishing regenerative future,https://ted.com/talks/liam_young_planet_city_a_sci_fi_vision_of_an_astonishing_regenerative_future
216,The untapped energy source that could power the planet,https://ted.com/talks/jamie_c_beard_the_untapped_energy_source_that_could_power_the_planet
217,You could have a secret twin (but not the way you think),https://ted.com/talks/kayla_mandel_sheets_you_could_have_a_secret_twin_but_not_the_way_you_think
218,An NFL quarterback on overcoming setbacks and self-doubt,https://ted.com/talks/alex_smith_an_nfl_quarterback_on_overcoming_setbacks_and_self_doubt
219,The trans story includes you,https://ted.com/talks/nicole_maines_the_trans_story_includes_you
220,The inaccurate link between body ideals and health,https://ted.com/talks/nancy_n_chen_the_inaccurate_link_between_body_ideals_and_health
221,"Earth's mysterious red glow, explained",https://ted.com/talks/zoe_pierrat_earth_s_mysterious_red_glow_explained
222,A smart bra for better heart health,https://ted.com/talks/alicia_chong_rodriguez_a_smart_bra_for_better_heart_health
223,Life-altering questions about the end of the universe,https://ted.com/talks/katie_mack_life_altering_questions_about_the_end_of_the_universe
224,What makes a language... a language?,https://ted.com/talks/martin_hilpert_what_makes_a_language_a_language
225,The big myth of government deficits,https://ted.com/talks/stephanie_kelton_the_big_myth_of_government_deficits
226,A sci-fi vision of life in 2041,https://ted.com/talks/chen_qiufan_a_sci_fi_vision_of_life_in_2041
227,The rise and fall of the Lakota Empire ,https://ted.com/talks/pekka_hamalainen_the_rise_and_fall_of_the_lakota_empire
228,How to stop languishing and start finding flow,https://ted.com/talks/adam_grant_how_to_stop_languishing_and_start_finding_flow
229,A new way to restore Earth's biodiversity — from the air,https://ted.com/talks/susan_graham_a_new_way_to_restore_earth_s_biodiversity_from_the_air
230,"What is MSG, and is it actually bad for you?",https://ted.com/talks/sarah_e_tracy_what_is_msg_and_is_it_actually_bad_for_you
231,The state of the climate crisis in 2021,https://ted.com/talks/climate_action_tracker_the_state_of_the_climate_crisis_in_2021
232,A taste of Mexico's ancient chocolate-making tradition,https://ted.com/talks/german_santillan_a_taste_of_mexico_s_ancient_chocolate_making_tradition
233,The infamous overpopulation bet: Simon vs. Ehrlich,https://ted.com/talks/soraya_field_fiorio_the_infamous_overpopulation_bet_simon_vs_ehrlich
234,How music can help you find peace after loss,https://ted.com/talks/steven_sharp_nelson_how_music_can_help_you_find_peace_after_loss
235,A future with fewer cars,https://ted.com/talks/freeman_h_shen_a_future_with_fewer_cars
236,Is this the most successful animal ever?,https://ted.com/talks/nigel_hughes_is_this_the_most_successful_animal_ever
237,How we can detect pretty much anything,https://ted.com/talks/helene_morlon_and_anna_papadopoulou_how_we_can_detect_pretty_much_anything
238,Can you outsmart the slippery slope fallacy?,https://ted.com/talks/elizabeth_cox_can_you_outsmart_the_slippery_slope_fallacy
239,How the COVID-19 vaccines were created so quickly,https://ted.com/talks/kaitlyn_sadtler_and_elizabeth_wayne_how_the_covid_19_vaccines_were_created_so_quickly
240,The secret society of the Great Dismal Swamp,https://ted.com/talks/dan_sayers_the_secret_society_of_the_great_dismal_swamp
